#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-03-28 22:23:04.320
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 40 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1.2 kHz
#Period: 833.3333333 us
#Amplitude: 2 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#2,4kHz
#50 ohm 
Time (s),Channel 1 (V)
-0.0025803225,-0.09599369730420511
-0.0025796925,-0.09566195243756216
-0.0025790625,-0.0949984627042758
-0.0025784325,-0.09433497297098944
-0.0025778025,-0.09400322810434648
-0.0025771725,-0.09300799350441719
-0.0025765425,-0.09134926917120241
-0.0025759125,-0.09068577943791545
-0.0025752825,-0.08902705510469994
-0.0025746525,-0.08803182050477108
-0.0025740225,-0.08836356537141372
-0.0025733925,-0.08703658590484101
-0.0025727625,-0.08637309617155511
-0.0025721325,-0.086041351304912
-0.0025715025,-0.08438262697169603
-0.0025708725,-0.08338739237176718
-0.0025702425,-0.08272390263848096
-0.0025696125,-0.08239215777183802
-0.0025689825,-0.08040168857197924
-0.0025683525,-0.07973819883869288
-0.0025677225,-0.07940645397204993
-0.0025670925,-0.0774159847721913
-0.0025664625,-0.077415984772191
-0.0025658325,-0.07675249503890511
-0.0025652025,-0.07575726043897579
-0.0025645725,-0.07509377070568989
-0.0025639425,-0.07409853610576027
-0.0025633125,-0.0731033015058305
-0.0025626825,-0.07210806690590166
-0.0025620525,-0.07011759770604303
-0.0025614225,-0.06845887337282691
-0.0025607925,-0.0671318939062551
-0.0025601625,-0.06779538363954131
-0.0025595325,-0.06547316957304064
-0.0025589025,-0.06414619010646716
-0.0025582725,-0.06447793497311027
-0.0025576425,-0.06281921063989475
-0.0025570125,-0.06182397603996544
-0.0025563825,-0.06116048630667862
-0.0025557525,-0.05983350684010681
-0.0025551225,-0.05950176197346371
-0.0025544925,-0.05950176197346371
-0.0025538625,-0.05717954790696199
-0.0025532325,-0.05552082357374646
-0.0025526025,-0.05552082357374646
-0.0025519725,-0.05286686464060164
-0.0025513425,-0.05153988517402908
-0.0025507125,-0.05120814030738612
-0.0025500825,-0.05120814030738612
-0.0025494525,-0.0485541813742425
-0.0025488225,-0.04921767110752751
-0.0025481925,-0.04722720190766888
-0.0025475625,-0.04556847757445411
-0.0025469325,-0.04490498784116716
-0.0025463025,-0.04291451864130823
-0.0025456725,-0.04225102890802232
-0.0025450425,-0.04092404944144991
-0.0025444125,-0.04026055970816399
-0.0025437825,-0.03827009050830509
-0.0025431525,-0.03827009050830509
-0.0025425225,-0.03661136617509032
-0.0025418925,-0.03627962130844646
-0.0025412625,-0.03462089697523003
-0.0025406325,-0.03263042777537233
-0.0025400025,-0.03229868290872921
-0.0025393725,-0.03196693804208627
-0.0025387425,-0.02931297910894128
-0.0025381125,-0.02864948937565508
-0.0025374825,-0.02831774450901212
-0.0025368525,-0.02566378557586714
-0.0025362225,-0.02533204070922359
-0.0025355925,-0.02433680610929473
-0.0025349625,-0.02400506124265163
-0.0025343325,-0.0220145920427924
-0.0025337025,-0.02068761257622059
-0.0025330725,-0.01969237797629128
-0.0025324425,-0.01703841904314766
-0.0025318125,-0.01703841904314645
-0.0025311825,-0.01571143957657389
-0.0025305525,-0.01537969470993093
-0.0025299225,-0.01338922551007231
-0.0025292925,-0.0133892255100714
-0.0025286625,-0.01139875631021369
-0.0025280325,-0.01073526657692748
-0.0025274025,-0.008744797377069765
-0.0025267725,-0.007749562777139549
-0.0025261425,-0.00609083844392403
-0.0025255125,-0.00609083844392403
-0.0025248825,-0.005427348710637823
-0.0025242525,-0.003436879510778598
-0.0025236225,-0.002109900044206787
-0.0025229925,-0.001114665444277476
-0.0025223625,0.0008758037555802406
-0.0025217325,0.001207548622224249
-0.0025211025,0.00220278322215356
-0.0025204725,0.003529762688725974
-0.0025198425,0.004856742155298389
-0.0025192125,0.005188487021941945
-0.0025185825,0.006183721621870804
-0.0025179525,0.008505935688372528
-0.0025173225,0.00983291515494434
-0.0025166925,0.01082814975487425
-0.0025160625,0.01115989462151736
-0.0025154325,0.01281861895473212
-0.0025148025,0.0148090881545915
-0.0025141725,0.01580432275452111
-0.0025135425,0.01646781248780702
-0.0025129125,0.01845828168766564
-0.0025122825,0.0194535162875945
-0.0025116525,0.02044875088752426
-0.0025110225,0.02144398548745357
-0.0025103925,0.02243922008738243
-0.0025097625,0.02310270982066909
-0.0025091325,0.0244296892872418
-0.0025085025,0.02509317902052771
-0.0025078725,0.02642015848710012
-0.0025072425,0.02708364822038603
-0.0025066125,0.02774713795367254
-0.0025059825,0.02973760715353116
-0.0025053525,0.03073284175346002
-0.0025047225,0.0327233109533191
-0.0025040925,0.03239156608667643
-0.0025034625,0.03338680068660529
-0.0025028325,0.03604075961975013
-0.0025022025,0.03670424935303663
-0.0025015725,0.03736773908632254
-0.0025009425,0.03836297368625186
-0.0025003125,0.04101693261939547
-0.0024996825,0.04002169801946737
-0.0024990525,0.04101693261939744
-0.0024984225,0.0426756569526122
-0.0024977925,0.0430074018192553
-0.0024971625,0.04466612615247143
-0.0024965325,0.04599310561904324
-0.0024959025,0.04632485048568634
-0.0024952725,0.0473200850856152
-0.0024946425,0.04864706455218806
-0.0024940125,0.04964229915211783
-0.0024933825,0.05063753375204669
-0.0024927525,0.0519645132186191
-0.0024921225,0.05262800295190546
-0.0024914925,0.05295974781854841
-0.0024908625,0.05428672728512082
-0.0024902325,0.05561370675169263
-0.0024896025,0.05594545161833635
-0.0024889725,0.05727243108490876
-0.0024883425,0.05893115541812427
-0.0024877125,0.05893115541812427
-0.0024870825,0.0602581348846973
-0.0024864525,0.06158511435126911
-0.0024858225,0.06191685921791221
-0.0024851925,0.06291209381784106
-0.0024845625,0.06423907328441393
-0.0024839325,0.06556605275098634
-0.0024833025,0.06656128735091565
-0.0024826725,0.06656128735091565
-0.0024820425,0.06722477708420217
-0.0024814125,0.06788826681748807
-0.0024807825,0.06822001168413118
-0.0024801525,0.06921524628406003
-0.0024795225,0.0712057154839191
-0.0024788925,0.0705422257506329
-0.0024782625,0.0712057154839188
-0.0024776325,0.07220095008384841
-0.0024770025,0.07385967441706424
-0.0024763725,0.07452316415035014
-0.0024757425,0.07551839875027945
-0.0024751125,0.07618188848356536
-0.0024744825,0.07717712308349498
-0.0024738525,0.07750886795013807
-0.0024732225,0.07784061281678102
-0.0024725925,0.0798310820166398
-0.0024719625,0.08016282688328305
-0.0024713325,0.08049457174992601
-0.0024707025,0.08182155121649842
-0.0024700725,0.08182155121649842
-0.0024694425,0.08348027554971393
-0.0024688125,0.08381202041635705
-0.0024681825,0.0848072550162859
-0.0024675525,0.08547074474957256
-0.0024669225,0.08580248961621567
-0.0024662925,0.08580248961621567
-0.0024656625,0.08712946908278808
-0.0024650325,0.08779295881607428
-0.0024644025,0.08779295881607428
-0.0024637725,0.0881247036827174
-0.0024631425,0.08978342801593216
-0.0024625125,0.09144215234914843
-0.0024618825,0.09077866261586252
-0.0024612525,0.09144215234914843
-0.0024606225,0.09210564208243463
-0.0024599925,0.09177389721579228
-0.0024593625,0.09343262154900706
-0.0024587325,0.09343262154900706
-0.0024581025,0.0944278561489359
-0.0024574725,0.09409611128229325
-0.0024568425,0.09475960101557947
-0.0024562125,0.09675007021543809
-0.0024555825,0.09708181508208119
-0.0024549525,0.09708181508208073
-0.0024543225,0.09608658048215188
-0.0024536925,0.0987405394152967
-0.0024530625,0.09741355994872489
-0.0024524325,0.0980770496820105
-0.0024518025,0.09907228428193982
-0.0024511725,0.1003992637485122
-0.0024505425,0.1010627534817984
-0.0024499125,0.09973577401522707
-0.0024492825,0.1020579880817277
-0.0024486525,0.1010627534817984
-0.0024480225,0.1017262432150843
-0.0024473925,0.102721477815014
-0.0024467625,0.1017262432150846
-0.0024461325,0.1027214778150135
-0.0024455025,0.1030532226816571
-0.0024448725,0.1047119470148724
-0.0024442425,0.1043802021482295
-0.0024436125,0.1053754367481588
-0.0024429825,0.1060389264814447
-0.0024423525,0.1050436918815157
-0.0024417225,0.1057071816148019
-0.0024410925,0.1057071816148019
-0.0024404625,0.106038926481445
-0.0024398325,0.1063706713480879
-0.0024392025,0.106038926481445
-0.0024385725,0.1080293956813036
-0.0024379425,0.1070341610813748
-0.0024373125,0.1070341610813743
-0.0024366825,0.1090246302812329
-0.0024360525,0.1080293956813041
-0.0024354225,0.1083611405479467
-0.0024347925,0.1073659059480185
-0.0024341625,0.1096881200145191
-0.0024335325,0.1090246302812329
-0.0024329025,0.1090246302812332
-0.0024322725,0.1096881200145191
